Gene,log2FC,p-value
MMP24OS,0.804861626,2.90E-06
FBXO38,0.550255808,2.91E-06
LRRC61,-3.832899522,2.93E-06
HUNK,-1.119224608,2.94E-06
NINJ2,-2.104484403,2.95E-06
MTBP,-1.210161883,2.95E-06
H1-7,4.582769487,2.95E-06
ZNF441,1.460254175,2.97E-06
TMEM81,0.92655207,2.98E-06
RPL6,-1.075054331,2.99E-06
GPALPP1,-0.683686264,2.99E-06
GLT8D2,1.30498922,3.02E-06
EIF3J-DT,0.905850843,3.02E-06
MIR7-3HG,2.762211553,3.03E-06
XCR1,-5.55267289,3.03E-06
TMEM147-AS1,-1.141155213,3.04E-06
BCAT2,0.803450937,3.05E-06
UQCC1,0.522104918,3.05E-06
TMEM143,1.014699773,3.05E-06
ZNF746,-0.608857469,3.08E-06
CEBPA-DT,-2.623959891,3.10E-06
ZNF281,0.467959009,3.11E-06
LMBR1L,1.268963926,3.12E-06
LOC105377862,4.329613693,3.14E-06
TOM1,0.800368456,3.15E-06
AGAP2,1.629550703,3.17E-06
LOC389705,2.138787429,3.18E-06
RTCA-AS1,1.303548669,3.18E-06
LOC101928436,5.240208012,3.19E-06
ELAVL4-AS1,5.675843043,3.19E-06
ZNF786,0.529953721,3.21E-06
SCARNA12,-1.417243553,3.23E-06
DDX50,-0.749020244,3.25E-06
PLCH2,3.851916639,3.25E-06
HHIP,2.506164574,3.26E-06
LSG1,-0.502233274,3.28E-06
GTF2IP4,0.925294508,3.29E-06
C17orf67,-1.052772168,3.29E-06
ARHGAP45,-1.161208297,3.30E-06
H2BC17,-4.339267018,3.30E-06
CACTIN,-0.900310909,3.32E-06
LOC646588,3.133749423,3.34E-06
PIK3R5-DT,-5.429244799,3.37E-06
UBAC2,-0.849806987,3.37E-06
LOC105373428,-1.509355413,3.38E-06
GPR50,-1.840397422,3.38E-06
ZNF878,-1.61887424,3.41E-06
LOC105377499,-4.015123689,3.42E-06
NMB,-1.880168816,3.43E-06
PBXIP1,-1.065423678,3.46E-06
ZFAND2A,0.842745412,3.47E-06
ZNF202,-0.47364617,3.48E-06
SOST,-4.858626671,3.48E-06
RAI2,1.764571287,3.49E-06
KIAA0040,-5.214989359,3.51E-06
MAPKBP1,1.21460189,3.52E-06
FAM204A,0.433855127,3.52E-06
TSNAX,0.772679975,3.53E-06
HCRTR1,-3.371798938,3.55E-06
CCDC177,1.486533506,3.58E-06
SP140L,-3.142998834,3.59E-06
LOC105371600,-5.07845904,3.61E-06
CYP27A1,-2.190869569,3.61E-06
PKIB,2.110788327,3.65E-06
ALG9,0.70955346,3.65E-06
RNA45SN4,-3.235784971,3.68E-06
SLC6A17,-1.772113104,3.71E-06
MED24,0.459807463,3.72E-06
C20orf204,2.042231958,3.72E-06
KDM3B,0.527142601,3.73E-06
AP4E1,0.55505697,3.73E-06
TEX45,1.747196186,3.74E-06
PKD2,-1.399604486,3.76E-06
SYNPO2L,-2.009737603,3.77E-06
LOC105369435,1.565665514,3.78E-06
UVRAG,0.926255906,3.79E-06
HOGA1,-3.023472536,3.79E-06
PTPRE,-1.721504831,3.80E-06
DDHD2,0.538614354,3.80E-06
MAPK11,1.862037805,3.81E-06
DCBLD1,-1.477057375,3.81E-06
PLA2G1B,3.354388353,3.83E-06
POLR1G,-1.124259553,3.83E-06
MC1R,1.374593003,3.84E-06
TOM1L2,0.979269063,3.84E-06
MTMR9_1,1.2754153,3.84E-06
PTPRG-AS1,0.997627775,3.85E-06
PLEKHA8,0.549871278,3.85E-06
LOC105369699,-3.183774802,3.87E-06
TRIM17,-2.302298175,3.87E-06
STK11IP,-0.903979208,3.88E-06
PIK3CA,0.937160742,3.88E-06
WTAPP1,-3.872207778,3.89E-06
SLC7A6OS,-0.696526119,3.89E-06
TJP1,-1.698518622,3.89E-06
ARL8A,0.993548216,3.90E-06
TMEM119,-2.433259667,3.90E-06
IL6,-4.965716566,3.93E-06
SLC25A42,1.529375991,3.95E-06
LOC107985020,-3.483833401,3.96E-06
RTL1,-2.318936202,3.96E-06
RARS2,0.541330055,3.97E-06
ZNF566,0.583838618,3.97E-06
PP2672,-3.838606845,3.97E-06
SNX19,0.641420568,3.97E-06
PHF14,0.806155643,3.98E-06
GPM6B,1.093137123,3.98E-06
SMIM15,-0.531662161,3.98E-06
FANCB,-1.376371442,3.99E-06
SDF2L1,-1.623416823,4.03E-06
MIR302C,-4.727096851,4.04E-06
SUN1,-0.905627907,4.05E-06
MRPL3,-0.834698732,4.06E-06
DHX33,-0.983838354,4.07E-06
ATG14,0.743928411,4.07E-06
RANBP17,1.097076121,4.08E-06
COG2,-0.468292455,4.12E-06
PDZK1,1.318259208,4.12E-06
CHRDL1,-1.09554598,4.12E-06
CITED4,-1.687214823,4.12E-06
OVOL2,-5.239968826,4.13E-06
PARD6G-AS1,-2.2874441,4.14E-06
TWNK,-0.700504946,4.16E-06
DEPDC7,1.148766791,4.16E-06
SRF,-1.605352616,4.18E-06
SNORD38B,-2.724977986,4.18E-06
SPACA6,-2.252129459,4.20E-06
HYAL3,1.08987278,4.22E-06
WDR35,-1.081783946,4.23E-06
OTUD4,-0.507519919,4.25E-06
PHYHIP,-1.964734842,4.26E-06
NR1D1,-1.059211344,4.28E-06
STEAP3-AS1,3.810064912,4.29E-06
TMSB15B-AS1,1.087167832,4.29E-06
SLC10A5,1.995499302,4.30E-06
GPRC5C,-1.593157699,4.31E-06
COX19,0.702102768,4.31E-06
MROH1,1.449375899,4.31E-06
IL2RG,3.750850219,4.32E-06
CCDC88A,1.171883661,4.32E-06
SEPTIN11,-0.700371118,4.32E-06
RUSF1,0.698658606,4.32E-06
NIPAL4,-5.03041365,4.36E-06
SAT1,1.899220757,4.36E-06
STK33,-0.877038258,4.37E-06
CPSF2,-0.678544567,4.37E-06
ADAT3,-1.165158356,4.37E-06
ATOH8,-3.226464469,4.39E-06
GALR1,3.84778947,4.40E-06
LOC105376583,-4.183068687,4.42E-06
USP21,-0.978256791,4.43E-06
FAM102A,-0.832358778,4.45E-06
LOC107985959,2.782393128,4.46E-06
OBI1-AS1,4.806011356,4.46E-06
LINC02154,-5.059810064,4.46E-06
PABPC1L,-2.336536578,4.47E-06
SEPHS2,0.547141919,4.48E-06
SEMA6A-AS1,-1.879969748,4.50E-06
ACOT1,-1.527481724,4.51E-06
RNF5P1,1.024667099,4.53E-06
LOC107984063,1.079528031,4.53E-06
SLC35D2,-0.875009139,4.53E-06
LINC00673,-2.251987022,4.54E-06
LOC105376294,1.847702682,4.55E-06
FBXL20,0.882774471,4.55E-06
FAM66A_1,2.340508525,4.59E-06
SND1,-0.528429486,4.60E-06
HNRNPM,-1.046558325,4.61E-06
SH3RF3,1.978083363,4.62E-06
KCNN4,-3.985282379,4.63E-06
MPZL2,-5.648417551,4.66E-06
GNG12,-1.08330663,4.70E-06
ESF1,-1.083370758,4.75E-06
NBL1,-3.571628083,4.76E-06
MEOX2,4.838304861,4.77E-06
COG7,-0.712119253,4.78E-06
MRPL28,-1.020109517,4.79E-06
C3orf52,-2.65092968,4.81E-06
KDM1B,0.948101165,4.83E-06
BCL11A,1.896589208,4.86E-06
PHETA1,0.973755707,4.87E-06
KTN1,-0.865598789,4.87E-06
HACD4,-1.627557146,4.88E-06
FAM182A,2.614408701,4.89E-06
SNTG1,3.181854627,4.89E-06
CSE1L,-0.861843215,4.90E-06
GNMT,3.016444212,4.91E-06
PRL,4.968502018,4.94E-06
RHNO1,-0.647881808,4.96E-06
OTX2-AS1,-2.667080557,4.96E-06
C5orf24,0.645183405,4.97E-06
RAD9A,-0.588388749,4.97E-06
DACT3-AS1,2.685411057,4.99E-06
LBX1,4.891111115,4.99E-06
RIPOR1,1.078806389,5.02E-06
CIAO3,0.884580552,5.05E-06
ARSI,-2.454643859,5.08E-06
GNAO1-AS1,4.660230329,5.09E-06
DLX6-AS1,-5.676460432,5.10E-06
MIR3654,-0.896769922,5.10E-06
SLC6A7,3.307997696,5.11E-06
RASEF,2.446875181,5.12E-06
ARHGEF5_1,-5.011565547,5.12E-06
ADAT1,0.711299854,5.15E-06
SLC27A2,2.351923843,5.15E-06
ATP5PO,0.714187224,5.16E-06
PTPRJ,-0.766804243,5.19E-06
ANPEP,-3.090935606,5.21E-06
STK40,-1.083115843,5.22E-06
RNF169,-0.705584534,5.29E-06
SLC49A4,-0.733294977,5.30E-06
OTX2,-1.012383919,5.33E-06
NUP85,-0.695681054,5.34E-06
GAPDHS,-1.126902497,5.37E-06
MN1,-1.038106478,5.39E-06
GYG1,0.965233744,5.40E-06
SNORA32,-2.074928116,5.41E-06
LOC107985945,4.107433926,5.45E-06
SNORA4,-1.782111494,5.48E-06
SLC25A51,0.669282672,5.49E-06
SLC7A6,1.013899578,5.49E-06
POLG2,-0.8408781,5.49E-06
SLC9A7P1,-1.432300743,5.50E-06
LINC01633,3.395230977,5.53E-06
LOC101927741,-2.495782631,5.53E-06
ADNP,0.496267468,5.53E-06
ZNF223,0.5818716,5.54E-06
SNORD27,-2.545554184,5.58E-06
ASAH1,1.096687338,5.59E-06
LRCH1,0.935825271,5.61E-06
LINC01311,-2.211200186,5.65E-06
UBE2J1,0.726717809,5.66E-06
TRIM69,5.063524655,5.66E-06
RBM8A,0.670857729,5.68E-06
LIN28B,0.604034735,5.69E-06
ZNF330,-0.838682611,5.69E-06
UPK1A-AS1,-4.86517173,5.70E-06
RRAGA,0.540009926,5.73E-06
FAM43A,1.313836194,5.74E-06
ZNF700,-0.840521994,5.77E-06
COL23A1,-2.753255333,5.80E-06
MCM5,-1.459015436,5.82E-06
CCN3,-1.52921488,5.86E-06
SLC52A1,-5.419667622,5.87E-06
KIAA0930,0.780468782,5.89E-06
ASCL1,3.694217732,5.90E-06
CCT4,-0.684521183,5.92E-06
ARPP19,0.501666801,5.92E-06
MARCHF11,2.365429034,5.94E-06
SMAD5,-0.986864663,5.94E-06
ACTL6A,-0.774796861,5.95E-06
SPRED2,0.647880959,5.96E-06
PRPH2,-3.110315168,5.98E-06
CUL1,-0.460181572,6.00E-06
PRAP1,-4.092231478,6.06E-06
SIDT2,-0.661283888,6.06E-06
THAP4,-0.70143814,6.08E-06
ZNF219,-1.52360854,6.08E-06
MARCHF1,2.050341947,6.09E-06
RAD23A,-0.625482642,6.13E-06
C1S,-1.533143123,6.15E-06
EI24,-0.395583834,6.16E-06
BDP1_2,1.196203767,6.18E-06
ZMAT1,1.763440662,6.19E-06
SRPRA,-0.507209702,6.19E-06
MIR367,-4.571565425,6.20E-06
PTHLH,-3.309573178,6.20E-06
PCM1,0.826767619,6.20E-06
KBTBD2,0.357616472,6.22E-06
ZNF232-AS1,0.985375981,6.23E-06
ZFYVE27,0.931057561,6.23E-06
PMF1,-0.676460964,6.26E-06
NAT2,-4.471689063,6.27E-06
SCYL3,0.829982779,6.27E-06
TCAF1_1,2.453123902,6.31E-06
POGLUT2,-0.822615602,6.33E-06
RNPEPL1,0.739205255,6.36E-06
POLA2,-0.984248291,6.37E-06
ZYX_1,-3.254917253,6.39E-06
WIPI1,0.946898541,6.40E-06
CSRP1,-1.760829857,6.40E-06
GPR150,2.170728067,6.40E-06
RBMX,-0.554394292,6.41E-06
PDCD6,-0.510717792,6.41E-06
ATG10,0.75481183,6.42E-06
THAP12,-0.803138845,6.43E-06
PRICKLE1,1.230519258,6.43E-06
TECPR2,0.812534106,6.43E-06
RHBDL2,-4.13849058,6.44E-06
TMSB15B,1.986689013,6.45E-06
YY1AP1,0.473758107,6.48E-06
MCFD2,-0.553418134,6.50E-06
FUT2,1.963013169,6.55E-06
UBE2D4,0.934584862,6.56E-06
USP4,-0.541789817,6.56E-06
TMEM179_1,3.29149277,6.62E-06
TP53BP2,-0.488291151,6.63E-06
DNAJC13,0.683377105,6.64E-06
RSF1,0.764580494,6.65E-06
RPLP0,-1.140707855,6.67E-06
SPTA1,3.972517508,6.69E-06
SNORD45A,-2.338446623,6.72E-06
NFATC2,-2.48293213,6.74E-06
LOC105376810,-3.173524697,6.75E-06
LCMT1,0.426442473,6.77E-06
PYM1,-0.888567747,6.77E-06
LOC107987142,1.341811367,6.78E-06
DDX1,0.89376548,6.80E-06
LEF1-AS1,3.76030187,6.86E-06
TRIM54,2.113459813,6.88E-06
SLC38A1,0.939999013,6.90E-06
MRPL16,-0.79848265,6.90E-06
TFB2M,-1.11488025,6.92E-06
TMEM218,0.828250011,6.92E-06
LOC107984428,-2.035572333,6.93E-06
COPRS,-0.793711632,6.95E-06
GLIPR1,-2.864875161,6.98E-06
DENND10,-0.503678755,6.98E-06
PIGA,-0.512066886,7.01E-06
RBM45,0.803857763,7.02E-06
SOSTDC1,-3.866493477,7.03E-06
PTPRK_1,-3.747702589,7.04E-06
POLR3K,-0.902922475,7.04E-06
LOC101928126,-2.644398546,7.04E-06
TGS1,-0.701575168,7.05E-06
SMIM22,2.829240892,7.05E-06
SCAT8,2.628999693,7.06E-06
LOC100287175,1.78011853,7.10E-06
ERO1A,-0.885035573,7.12E-06
SMG7-AS1,1.988790356,7.15E-06
LDLR,-0.861688694,7.21E-06
LOC101929057,2.502651107,7.21E-06
LIAS,0.606409389,7.22E-06
MAFK,-1.658542678,7.23E-06
RGCC,-5.319003762,7.30E-06
WRAP73,-0.930473631,7.31E-06
RAB7A,0.628285479,7.31E-06
GPN3,-0.822269514,7.32E-06
NECTIN4,-3.306839274,7.33E-06
STK38,0.733017604,7.39E-06
ZNF528,2.944893296,7.39E-06
SRGAP2C,-0.916624222,7.41E-06
LOC100130701,-3.664818667,7.42E-06
NR2C2,0.846950268,7.51E-06
USP14,0.580148975,7.53E-06
H2BC9,-2.352808256,7.54E-06
NOL4,2.577028893,7.54E-06
LOC105372266,-2.063994275,7.55E-06
LOC112268093,4.720181787,7.56E-06
RFX3,1.173714043,7.60E-06
LINC01632_1,6.041200571,7.64E-06
RD3,-1.782627682,7.67E-06
WDR5B,0.932427766,7.69E-06
GPBP1L1,-0.560066756,7.71E-06
NADK2,0.479200917,7.72E-06
MARVELD2,-3.089668948,7.76E-06
ZNF283,-4.923481047,7.79E-06
DIO2,2.534286908,7.79E-06
CD63,-0.83548998,7.81E-06
EEF1G,-0.889703931,7.82E-06
LOC107987063,-2.600806478,7.82E-06
LOC107985054,-3.972112436,7.83E-06
LOC105375429,2.919261181,7.83E-06
BEND6,1.756145678,7.86E-06
MTUS2,1.968327905,7.87E-06
LRRC8A,-1.174636421,7.90E-06
MLF1,-0.997129018,7.90E-06
VPS26C,-0.64691157,7.94E-06
CES3,-1.421440136,7.95E-06
TRIM16,-0.816532148,7.96E-06
NAP1L6P,-4.978758556,7.99E-06
CCDC194,-5.490708687,8.00E-06
CPEB1,2.224631845,8.01E-06
MAN1B1,0.55638548,8.10E-06
MAPKAPK3,-0.813065914,8.10E-06
LOC100506178,-3.645543605,8.15E-06
TBC1D5,0.971159391,8.17E-06
SSTR3,-1.775044946,8.18E-06
RCL1,-0.899032875,8.20E-06
GNG4_1,1.570050669,8.20E-06
SIRT1,0.46426485,8.20E-06
SRGAP1,1.419426732,8.25E-06
LRRC37A3,1.183674875,8.26E-06
LINC01574,3.531452103,8.31E-06
ANKS1B,1.366515533,8.35E-06
MAMDC2_1,-4.610364069,8.35E-06
SUSD2,2.793550972,8.35E-06
HOTAIRM1,-4.724293719,8.38E-06
FBXO46,-0.546528972,8.38E-06
CACNG3,2.738657008,8.39E-06
KIF26B_1,4.546469155,8.40E-06
LOC101927012,-4.264181164,8.40E-06
VIPR1,-3.817213198,8.40E-06
CDC42BPB,0.50415078,8.42E-06
TBCB,0.861026657,8.43E-06
SBNO1-AS1,-1.926991365,8.47E-06
TSPAN9,-1.532674031,8.48E-06
SLC9A7,0.991119055,8.51E-06
JAK2,1.496875271,8.54E-06
ACTR3C,1.306801791,8.56E-06
SDHD,-0.909090156,8.56E-06
NDUFV2-AS1,1.342049349,8.56E-06
MARCHF2,0.821275136,8.57E-06
CSTF3,-0.562637454,8.57E-06
CSTF2,-0.583178649,8.57E-06
ZBTB11-AS1,1.03688673,8.64E-06
MIR302CHG,-3.964564187,8.64E-06
MT2A,-2.857642868,8.66E-06
LOC102724068,2.429484619,8.68E-06
GRWD1,-1.07947827,8.70E-06
PLXNA1,-0.737020057,8.71E-06
IER5L,-1.786125214,8.75E-06
AVEN,-0.842752881,8.80E-06
KBTBD3,1.151467567,8.80E-06
LOC105377703,5.202431725,8.80E-06
RBL2,-1.204063429,8.86E-06
BTAF1,-1.038713361,8.87E-06
ITM2C,1.230054597,8.88E-06
LOC101927098,4.742173806,8.89E-06
PBX4,1.029741826,8.92E-06
LOC105376553,5.421942491,8.94E-06
CLIC2,2.285371334,8.98E-06
NRG2,2.194176405,9.01E-06
FBXO36,-1.310375264,9.03E-06
PFKP,-1.110098621,9.05E-06
COL16A1,-2.155646962,9.06E-06
NLN,0.689209246,9.07E-06
TMEM38B,-1.152358694,9.09E-06
GINM1,-0.717852048,9.15E-06
LOC101927509,-3.375155503,9.16E-06
LOC101929343,-5.13436653,9.27E-06
IQCK,0.945568726,9.27E-06
RRM1,-1.023524539,9.28E-06
MPST,-1.432272577,9.30E-06
PCGF6,-0.953997208,9.30E-06
PCSK1,2.349509795,9.31E-06
SNORA67,-1.650085406,9.35E-06
WNK1,-0.650361655,9.35E-06
ZNF682,0.658648861,9.36E-06
USP32,0.71734344,9.37E-06
MRPS33,0.740854538,9.39E-06
CRLS1,-0.983731129,9.40E-06
SGCA,-4.137964059,9.41E-06
POLD3,-1.091959541,9.57E-06
LIN37,0.961597022,9.57E-06
BORCS8,0.826650893,9.59E-06
ARHGEF5,-4.428344975,9.63E-06
PRELID3A,-1.1333987,9.72E-06
CFAP36,0.587942943,9.75E-06
LOC107984564,4.729750556,9.78E-06
ASIC2,1.8090823,9.80E-06
WWTR1-AS1,-4.676577953,9.81E-06
DCAF16,-0.741341024,9.87E-06
OCIAD1,0.414365532,9.88E-06
LOC107984951,4.744232306,1.00E-05
LINC00237,4.164399846,1.00E-05
LOC107985268,-4.732446256,1.00E-05
TRAF3IP2-AS1,0.672473149,1.00E-05
PLCB4,1.052643454,1.01E-05
NR1H2,-0.645494319,1.01E-05
RNF212B,2.281844112,1.02E-05
SIPA1L3,-0.647780253,1.02E-05
CDH24,-1.861980683,1.02E-05
SCCPDH,0.448239121,1.02E-05
MCM8,-1.109321449,1.03E-05
NEAT1,-2.905285184,1.03E-05
LOC101930053,1.97465172,1.03E-05
ROCK1,-0.5185909,1.03E-05
SFXN4,-0.71964835,1.03E-05
RTL5,1.033793449,1.03E-05
ZNF117,-4.79715453,1.04E-05
DNAH11,-2.23059845,1.04E-05
ANKRD39,0.829634333,1.04E-05
RPS27A,-1.326984435,1.04E-05
ATG4A,-0.541783082,1.05E-05
TMEM43,-0.787032646,1.05E-05
ZNF486,-1.117629515,1.05E-05
PYGO1,-0.797317858,1.05E-05
FTCDNL1,2.388737326,1.05E-05
MFAP4,2.069198601,1.05E-05
UGCG,-1.038275053,1.06E-05
CASTOR1,-1.550885698,1.06E-05
LAMA5,-1.275843998,1.06E-05
CYP1B1,-3.28169402,1.06E-05
ZNF271P,0.623105377,1.07E-05
CLEC4E,3.942934576,1.07E-05
RTL8A,0.591944187,1.07E-05
CTTNBP2,1.006250215,1.07E-05
SLC4A3,-1.40472543,1.08E-05
NAP1L4_1,2.103235248,1.08E-05
ZFP30,0.799911272,1.08E-05
VIRMA-DT,1.784289535,1.09E-05
RASGEF1B,1.449867436,1.09E-05
BRSK1,1.589933906,1.09E-05
URB1,-0.701487463,1.10E-05
RHOJ,-3.79770523,1.10E-05
PABIR3,0.728226007,1.10E-05
TULP2,-2.46776282,1.11E-05
CD79A,-2.602290915,1.11E-05
SF3A2,-0.831421808,1.11E-05
LNX2,-1.049291355,1.11E-05
MEOX1,-6.050639815,1.12E-05
XPO5,-0.477854253,1.12E-05
LOC107984850,4.35822622,1.12E-05
TMEM254-AS1,1.139215979,1.12E-05
FANCG,-0.777574489,1.13E-05
CHKA-DT,-3.406270629,1.13E-05
DDX56,-0.477356683,1.13E-05
CDPF1,-0.764115251,1.13E-05
ID4,2.039652313,1.14E-05
FXN,-0.83863558,1.14E-05
SPATA41,1.813623512,1.14E-05
POLR1B,-0.649546489,1.14E-05
PDE9A,-0.936379114,1.14E-05
LOC105372976,-2.99491943,1.14E-05
GAS6-DT,2.003065968,1.14E-05
LOC107984192,-4.601916532,1.15E-05
LOC101929174,-2.983160462,1.15E-05
ZNF16,-0.786676677,1.15E-05
LOC105379857,2.584450495,1.16E-05
CRYBA1,2.609611711,1.16E-05
ZNF350-AS1,2.464265162,1.16E-05
LOC105373944,-3.935111963,1.16E-05
VEZF1,0.467102007,1.16E-05
SPINT1,-3.345247657,1.17E-05
NAALADL2,-1.851567558,1.17E-05
EFR3A,-0.858004291,1.17E-05
LOC107985981,-3.016528294,1.17E-05
MUC19,-3.052239241,1.17E-05
NDUFB5,0.713028384,1.17E-05
SNORD12,-2.047047189,1.18E-05
FGF23,-3.688546453,1.18E-05
PGM5P4-AS1,5.033941243,1.18E-05
RPS11,-1.151950869,1.18E-05
THAP10,0.665688541,1.18E-05
ARMCX6,1.003043872,1.18E-05
SNORD96A,-1.769901351,1.18E-05
OTUD1,0.853602998,1.18E-05
LOC112268196,4.213911376,1.18E-05
PTGR2,-0.821328748,1.19E-05
STRA6,5.099970268,1.19E-05
LTBP2,-0.955482244,1.19E-05
UBTD2,0.54678425,1.19E-05
LOC105374986,-3.599983445,1.20E-05
HDX,0.888473968,1.21E-05
RPL13A,-1.42118314,1.21E-05
NELFA,-0.514631833,1.21E-05
LINC01503,-2.481162465,1.22E-05
MRTO4,-1.192071267,1.22E-05
HSDL2-AS1,0.985271873,1.22E-05
LOC105370904,4.148469645,1.22E-05
BARHL1,3.677756258,1.22E-05
C1orf21,0.668479057,1.23E-05
LOC105379235,4.57727674,1.23E-05
MYBL2,-1.672348761,1.23E-05
CNTN3,-1.653854601,1.23E-05
COLGALT2,-1.449624817,1.23E-05
KNTC1,-1.187608887,1.23E-05
ATXN2L,-0.706092383,1.24E-05
AP2B1,1.000822629,1.24E-05
PINLYP,-1.419944256,1.24E-05
MAT1A,-3.701738295,1.24E-05
DOCK2,-2.341059854,1.25E-05
PRKX,0.62182384,1.25E-05
KPNB1,-0.555469218,1.25E-05
LOC107983974,-3.152001315,1.25E-05
C1orf112,-1.15463674,1.25E-05
DLEU1,-1.236432932,1.26E-05
AARS2,0.384059261,1.26E-05
KLHL30,-3.080506827,1.26E-05
ATPAF2,-0.623807935,1.26E-05
MORC4,-1.150186619,1.26E-05
MTA1,-0.669383959,1.26E-05
TGFB1I1,-2.689647516,1.26E-05
MREG,0.779840591,1.27E-05
LEMD1,-1.45215485,1.27E-05
LOC102723436,-3.473577498,1.27E-05
FKBP4,0.636958213,1.27E-05
ANKRD54,0.516826731,1.27E-05
LOC105377541,-3.170636946,1.27E-05
LOC107986162,1.684352001,1.27E-05
SLC37A4_1,-1.680073153,1.29E-05
EDN3,2.619849654,1.29E-05
HLA-DMA_3,-2.603293476,1.29E-05
TSHR,5.028059811,1.30E-05
USP43,-2.159606594,1.31E-05
LINC02805,2.826056511,1.31E-05
HMCES,-0.480255417,1.32E-05
METTL5,-0.880473372,1.32E-05
RAB1A,0.418168842,1.33E-05
FOXI3,-3.305097394,1.33E-05
CHRM2,5.217480708,1.34E-05
DHX34,-1.034644403,1.35E-05
HAS2,-3.126253663,1.35E-05
RNF166,-0.659292548,1.36E-05
ANKMY2,0.629775736,1.36E-05
ADPGK,-0.461254061,1.36E-05
SYTL5,-1.241161859,1.36E-05
BTC,3.011842998,1.37E-05
TMCO3,-0.565001103,1.37E-05
SNORA55,-3.290430248,1.37E-05
ZNF703,1.848463584,1.38E-05
CD70,-3.742854137,1.38E-05
LOC105374989,4.047183779,1.38E-05
LOC105371952,-3.907828565,1.39E-05
SLX4IP,0.874970539,1.39E-05
ETV2,-2.132687606,1.39E-05
CTDSPL2,-0.725940519,1.39E-05
BANF1,-0.744924693,1.40E-05
ZBTB16,-1.547471447,1.40E-05
MYEOV,-4.900332094,1.40E-05
SEMA3B-AS1,3.253966523,1.41E-05
TCEAL5,1.119341152,1.41E-05
PCDHB13,1.350339326,1.41E-05
FAM90A1,1.951137114,1.42E-05
TRAPPC14,0.846617585,1.42E-05
CREM,-0.755708027,1.42E-05
DERL1,0.401797866,1.43E-05
FAM20A,1.791885003,1.43E-05
GDPD2,-1.924789888,1.44E-05
ULBP2,3.122945075,1.44E-05
USP31,0.903622879,1.44E-05
SNORD88C,-4.265785343,1.44E-05
VPS13D,0.967198021,1.44E-05
ZP4,-4.740099516,1.45E-05
HK3,3.934225843,1.46E-05
LOC642484,-3.153827859,1.46E-05
CACNA1D,1.928064991,1.46E-05
NRAP,-4.016068218,1.47E-05
SYT17,1.598005319,1.47E-05
WWP1,-0.493626373,1.48E-05
SPANXC,-5.049654084,1.49E-05
TGM3,2.064980687,1.49E-05
C6orf223,-3.127575857,1.49E-05
MAP3K20-AS1,-4.700141047,1.49E-05
HSPE1,-0.971893794,1.50E-05
STX10,-1.115551575,1.51E-05
GTF3A,0.660783775,1.51E-05
TMEM229B,1.681792391,1.51E-05
GLA,-0.750654082,1.51E-05
AP1S3,-1.304177849,1.52E-05
SNORA63B,-2.187480259,1.52E-05
PCDHGA11,-2.466807497,1.53E-05
DNAJC24,-0.933829755,1.53E-05
LINC01208,-5.304574005,1.53E-05
B4GALT5,0.855916748,1.53E-05
SELENOO,-0.980339052,1.53E-05
WDR11-AS1,1.917540204,1.53E-05
LOC107987276,2.223041681,1.54E-05
C12orf73,0.653443496,1.55E-05
PTGFRN,-0.978502517,1.55E-05
AMBRA1,0.647089771,1.58E-05
MAP3K21,-1.641504364,1.58E-05
KMT2C,1.275067779,1.58E-05
CINP,-0.641559291,1.58E-05
ZNF658,1.123670989,1.59E-05
LOC105375674,2.306463259,1.59E-05
LOC105369199,4.947904075,1.59E-05
MVB12A,-0.989997328,1.60E-05
DPM1,-1.006499473,1.61E-05
LOC100420587,-3.723182099,1.62E-05
LOC105374063,2.157359331,1.62E-05
ALX1,2.328576686,1.62E-05
RAB40A,1.834305193,1.63E-05
FOXD4L4,3.849778311,1.64E-05
NME9,1.952479396,1.64E-05
KCNQ4,-1.585171918,1.66E-05
KCNH1,2.620020986,1.66E-05
TBC1D8,0.91635333,1.67E-05
RFXAP,-0.941988548,1.68E-05
RAD21-AS1,1.696985873,1.68E-05
ITGAM,-4.415009015,1.68E-05
MZT2A,1.211826322,1.69E-05
EAF1,0.525062018,1.70E-05
POLR2B,0.416125388,1.71E-05
BRPF3,0.793189523,1.71E-05
TGFB2,-3.009635774,1.71E-05
P4HA2,-1.70805896,1.72E-05
GFOD1,-0.999665928,1.72E-05
LINC02298,-4.256663898,1.72E-05
MIR92A2,-4.049694456,1.73E-05
NBN,-0.663021559,1.73E-05
RPSA,-1.225879514,1.73E-05
CHAMP1,-0.675472781,1.73E-05
NT5DC4,-3.672910568,1.73E-05
LOC107985944,1.483416494,1.74E-05
FAM66D,2.43964932,1.74E-05
YWHAZ,0.543393172,1.74E-05
RNF149,-0.838681024,1.75E-05
ANO9,-4.001947847,1.75E-05
SH3BGR,-1.521187387,1.75E-05
TCERG1L-AS1,-5.246858322,1.75E-05
SNORD144,-3.606450218,1.76E-05
CTNNBL1,-0.588269142,1.76E-05
RALGAPB,0.771895608,1.76E-05
MTFMT,-0.581162111,1.76E-05
LIPH,-2.52707371,1.78E-05
LOC286059,-2.61619164,1.78E-05
LRP10,-0.759630028,1.79E-05
GPRC5A,-5.407324968,1.80E-05
C11orf42,1.089200242,1.81E-05
LOC105373174,2.111614122,1.81E-05
LOC338963,2.622084074,1.82E-05
FARS2,0.85182372,1.82E-05
LOC101928371,-4.312273289,1.82E-05
