Gene,logFC,FDR
LHX4,-0.996835866,3.33E-08
LOC105372446,-4.495084536,3.34E-08
FOXP2,4.435334791,3.34E-08
ZFP1,0.977941267,3.37E-08
SCUBE2,2.444420353,3.38E-08
LOC105377572,-6.899169779,3.39E-08
ANKRD50,1.358303455,3.41E-08
YDJC,-1.450742813,3.44E-08
NOX4,-2.501641258,3.45E-08
CNTRL,-1.703184645,3.49E-08
LPCAT2,-1.688801833,3.50E-08
SLC10A5,3.773178513,3.52E-08
SIGIRR,-1.784570149,3.53E-08
WRNIP1,0.591026006,3.53E-08
ZNF550,0.772191632,3.53E-08
SMKR1,3.190633803,3.53E-08
SEM1,-1.219357274,3.55E-08
TUBB1,2.949031684,3.55E-08
ANP32A-IT1,-4.476043062,3.58E-08
LY6H,5.481005814,3.58E-08
RTL10,0.551687984,3.60E-08
SNTG1,3.418901089,3.60E-08
ZNF800,1.500997736,3.62E-08
FAM161A,-1.527430021,3.63E-08
RBM19,-1.163878453,3.66E-08
VSTM2A-OT1,4.994138839,3.66E-08
C6orf226,1.908711684,3.68E-08
USP16,-0.778921211,3.73E-08
APEX1,-1.242192028,3.75E-08
GPBAR1,2.873384066,3.76E-08
PMFBP1,2.28423876,3.88E-08
AIDA,-0.885011946,3.89E-08
WDR97,4.010361944,3.89E-08
CENPBD1,0.937299817,3.90E-08
MYH7B,2.969073881,3.90E-08
C20orf203,3.851668034,3.90E-08
BHLHE22,4.78995945,3.91E-08
LTBP1,-2.613531712,3.92E-08
PCLO,2.251216673,3.92E-08
ZNF720,0.988804157,3.93E-08
AGAP3,1.0293535,3.95E-08
LINC02387,-4.279913993,3.96E-08
LOC100288637,-3.273322136,3.96E-08
SREBF1,-1.309053325,3.96E-08
RPL10,-1.103366641,3.96E-08
UNC5B,-2.403287609,3.98E-08
DPH2,-1.673676881,3.98E-08
SCARF2,-1.761246689,4.00E-08
SNRPN,-0.999484036,4.00E-08
H2BC4,-2.525575035,4.04E-08
FBXO6,2.015459179,4.04E-08
ZNF571-AS1,2.676391941,4.08E-08
PVR,1.107191999,4.10E-08
CFAP43,2.849663749,4.14E-08
TRIM74,1.418858548,4.16E-08
MMP3,4.938427909,4.18E-08
CYHR1,0.893473044,4.21E-08
LOC107987097,1.308618296,4.24E-08
ATP1B3,-0.766124768,4.26E-08
PPP1R21,0.943239331,4.27E-08
KCNH4,3.263038867,4.32E-08
ZYG11A,-2.755767678,4.34E-08
CREB3,1.1168222,4.38E-08
NKAIN1,1.376975792,4.40E-08
PDIA3P1,-1.13381888,4.41E-08
BCAT2,-0.883832923,4.42E-08
CTXN3,5.071363292,4.43E-08
SCCPDH,1.026467169,4.44E-08
SNURF,-2.684865142,4.47E-08
LINC00987,-1.572037397,4.47E-08
LOC107986712,5.048525312,4.47E-08
ATXN7L2,1.393708379,4.49E-08
GALNT9_1,5.872000776,4.52E-08
PRR7,1.902380364,4.53E-08
WRAP53,-0.834265486,4.57E-08
NSMCE1,-1.924885797,4.59E-08
EMILIN1,-1.493925351,4.62E-08
PGRMC2,-0.706059856,4.62E-08
WSB2,0.727110177,4.62E-08
THAP8,0.94521113,4.62E-08
MST1R,-2.139405785,4.64E-08
SNORA73A,-3.958166159,4.66E-08
CEP44,-1.169238812,4.66E-08
TOMM20,-0.703123738,4.66E-08
RMDN3,0.899791824,4.66E-08
MAP3K7,-0.65335276,4.67E-08
ZNF806,3.971302016,4.67E-08
SRCIN1_1,5.143031372,4.67E-08
CHSY1,-0.984920329,4.77E-08
C12orf73,1.160670436,4.83E-08
SDR39U1,1.59315134,4.86E-08
LOC105379477,4.925808274,4.86E-08
CD68,2.261157729,4.91E-08
DBP,1.340006003,4.92E-08
C16orf74,1.71198929,4.93E-08
DYNC2LI1,1.281858045,4.94E-08
PIDD1,-1.116906482,5.06E-08
SMAP1,0.828721304,5.08E-08
TFPI,-3.314177889,5.11E-08
ACTRT3,-2.890122676,5.11E-08
FAHD1,1.14264327,5.12E-08
PGBD4,1.485591777,5.13E-08
RNF128,2.474442925,5.13E-08
SNUPN,-0.995130344,5.15E-08
RPL29,-1.226965852,5.16E-08
GUCD1,-1.223942657,5.20E-08
CYC1,-0.79983321,5.25E-08
AFDN-DT,2.198470543,5.25E-08
CCDC25,-0.734800445,5.28E-08
PMCH,-4.065511774,5.33E-08
TCTA,2.091021017,5.33E-08
BCL2,1.85001617,5.36E-08
LGR6,-7.135172643,5.44E-08
TSNARE1,0.599990352,5.44E-08
REV3L,1.631259902,5.49E-08
LINC00685_2,2.278598502,5.49E-08
LOC112268122,4.430143312,5.51E-08
LINC02367,-4.657084538,5.55E-08
ZDHHC24,0.617882917,5.58E-08
LIN54,0.990321153,5.60E-08
NALF2,1.429148602,5.61E-08
HMX3,3.576827861,5.63E-08
LOC107984581,-5.768875447,5.67E-08
ERI1,-1.677213081,5.67E-08
MTM1,-0.916257054,5.68E-08
TOR1AIP1,-0.609819653,5.73E-08
RAP1GDS1,1.06036572,5.75E-08
CRADD,1.410891575,5.75E-08
YEATS4,-1.001702583,5.78E-08
DIPK2A,-2.127534333,5.80E-08
STK11IP,-0.869051441,5.90E-08
CHMP5,0.865079419,5.90E-08
SLC44A3-AS1,-1.836449456,5.93E-08
ABHD2,1.499560443,5.93E-08
UNC13D,-2.004185686,5.98E-08
TP53INP1,1.199829725,5.98E-08
MYT1,5.689555088,5.98E-08
RPL27A,-1.654746143,6.04E-08
SNCA,1.404659297,6.04E-08
METTL27,-3.348026873,6.05E-08
KCTD20,0.53463832,6.06E-08
FPGT,1.069045113,6.06E-08
TRIQK,1.103406584,6.09E-08
EGFL6,-1.972905776,6.11E-08
CASP8,-2.962011085,6.13E-08
FAM27E4,4.799419089,6.16E-08
ZSCAN12,0.74267366,6.18E-08
MZT1,-0.949995823,6.19E-08
WWP1,-0.684456441,6.24E-08
KTN1-AS1,-2.293945962,6.25E-08
RPRML,-4.388471761,6.26E-08
ZNF485,-1.464452161,6.26E-08
CUTC,-1.264499519,6.27E-08
SLC66A1,1.499400952,6.29E-08
RAPGEF6,0.979415792,6.42E-08
PHIP,-1.523716211,6.47E-08
PLEKHM1P1,2.261354909,6.55E-08
PLK5,2.460183689,6.57E-08
ECE1,-0.794094167,6.59E-08
LOC112267932,4.448580718,6.62E-08
CCND1,-1.084136295,6.66E-08
SETD6,-0.619643451,6.70E-08
LINC01621,4.885280618,6.70E-08
CDC40,-0.579349573,6.75E-08
INTS6,-1.080749835,6.78E-08
PUS3,-0.789486979,6.78E-08
PDE2A,1.564305095,6.80E-08
HNRNPC,-1.173844748,6.82E-08
CDHR3,1.195243984,6.82E-08
MYORG,-1.528010681,6.85E-08
ABCF2,-0.739527021,6.89E-08
SATB1,1.257481476,6.89E-08
SLC4A7,-1.699481331,6.93E-08
SULT6B2P,4.99853491,7.04E-08
PPIP5K1,0.86636844,7.05E-08
TDRG1,-5.23454897,7.06E-08
KLHL8,1.258629062,7.06E-08
ARIH1,0.703300278,7.07E-08
MRPS35,-0.875725096,7.09E-08
PORCN,1.357812238,7.12E-08
ZNF260,0.850984275,7.16E-08
METTL5,-1.156755963,7.18E-08
TAF1A-AS1,1.981434757,7.22E-08
B4GALT1-AS1,4.819340069,7.22E-08
CBFA2T2,1.217575155,7.29E-08
UNC79,4.576336175,7.37E-08
RIMKLA,1.408840171,7.38E-08
GPR61,2.693589886,7.39E-08
C8orf58,-1.230412655,7.40E-08
ALG13,-1.034299353,7.40E-08
PTPRD,1.284193128,7.40E-08
HOMEZ,1.298166757,7.48E-08
HS3ST3B1,-0.742927074,7.62E-08
C12orf56,-4.456063865,7.64E-08
PRNCR1,-4.356464652,7.65E-08
LOC105375674,3.728876281,7.69E-08
GLE1,-0.536047425,7.71E-08
FLJ46906,-2.468259589,7.72E-08
CENPJ,-1.093533493,7.72E-08
IDH2,0.42154311,7.81E-08
CTNNBIP1,0.893361061,7.81E-08
RCC1,-2.012684577,7.83E-08
NFS1,-0.757720004,7.83E-08
HERC2P2,1.657703316,7.84E-08
ZNF222,1.410664413,8.00E-08
FRY-AS1,3.202381308,8.03E-08
TMED4,0.455189568,8.04E-08
SLC32A1,4.331159908,8.05E-08
ELMO3,-1.564283712,8.07E-08
EMC3,1.178220442,8.12E-08
AIP,1.137123425,8.14E-08
LOC100506639,1.828472015,8.15E-08
PODN,4.468728711,8.16E-08
KHDC1,0.909183848,8.24E-08
TULP4,1.638294312,8.25E-08
SLC2A1-AS1,-2.57140642,8.26E-08
KATNAL2,-1.438810792,8.31E-08
LOC107986437,4.748087946,8.34E-08
RASAL2,1.198296515,8.36E-08
LINC01894,3.53261933,8.54E-08
SPIN2A,-3.330777448,8.57E-08
VPS29,1.068291915,8.62E-08
SERAC1,1.272298524,8.63E-08
EXT1,1.066750771,8.69E-08
CEP164,0.701566109,8.75E-08
DAZAP1,-1.88041925,8.76E-08
NBDY,0.706191208,8.77E-08
SNORD29,-2.724145197,8.78E-08
GRPEL2,-0.828929265,8.79E-08
LOC102724227,-5.111434497,8.80E-08
EPB41L4B,-1.130312924,8.88E-08
ALPG,-6.307776908,8.89E-08
SLCO2B1,4.001430425,8.89E-08
E2F6,0.696919246,8.94E-08
WDR6,0.829743757,8.99E-08
RPA4,-5.660961091,9.02E-08
CC2D2A,-0.914955587,9.08E-08
CLDN1,-2.664676317,9.09E-08
ZNF430,-0.924692463,9.19E-08
TIGD6,1.17239288,9.21E-08
LOC105377209,5.064266463,9.30E-08
TMEM94,0.690358317,9.32E-08
LINC01108,-7.238271808,9.33E-08
PTPRD-AS2,4.321363404,9.43E-08
UBP1,-0.666859815,9.45E-08
B4GALT4,-0.644882883,9.52E-08
TCEAL4,1.032002596,9.52E-08
PCYOX1L,0.800448468,9.54E-08
HM13,-0.565847067,9.63E-08
ETFBKMT,2.007107371,9.64E-08
STAT4,2.414592127,9.64E-08
CDC25A,-1.389762923,9.70E-08
PON1,-3.693694782,9.72E-08
AKAP8L,0.578047429,9.79E-08
LOC105372311,-6.298954662,9.80E-08
GATD1,1.36985034,9.82E-08
TK2,1.286199605,9.86E-08
ZNF136,1.008807308,9.94E-08
GCK,1.588088243,9.94E-08
FAM72C,-4.430908863,9.95E-08
GSPT1,-0.698196813,9.98E-08
GNAQ,1.076785253,9.99E-08
LOC101928437,-7.088792026,1.00E-07
KCNMB2,2.249347475,1.00E-07
NBAT1,-4.263229305,1.01E-07
RNF43,-3.848089578,1.01E-07
ZDHHC23,-1.196906376,1.02E-07
PAX7,3.864639898,1.02E-07
SSPOP,2.16172706,1.03E-07
PSTPIP1,-5.456605043,1.04E-07
VGLL3,-2.233639192,1.04E-07
WFS1,-0.585375212,1.04E-07
LOC107984747,-7.269709014,1.05E-07
ZNF133,0.812685793,1.05E-07
SMPD2,-1.448403711,1.06E-07
GLB1L2,1.115275069,1.06E-07
TTC33,1.235074769,1.06E-07
SLA,-2.569816961,1.07E-07
ZNF69,-2.058134382,1.07E-07
MIR302C,-7.163990166,1.08E-07
FNBP1,0.765206875,1.08E-07
SPATA31C2,-6.362175062,1.09E-07
SEMA5B,-3.581371863,1.09E-07
PTPDC1,-1.485354617,1.10E-07
MRPL9,-0.949339679,1.10E-07
OSGIN2,-0.609227669,1.10E-07
PRTFDC1,1.041124703,1.10E-07
SFPQ,-1.123223309,1.11E-07
TMOD3,-0.752412996,1.11E-07
AKAP3,1.743018725,1.11E-07
PHF1_1,1.777131422,1.11E-07
LINC01586,5.175701531,1.11E-07
WASHC1,1.327432087,1.12E-07
RPS18_1,-6.607700956,1.13E-07
PLEKHO1,1.431655102,1.13E-07
PYROXD1,1.169155231,1.14E-07
BEGAIN,2.004985774,1.14E-07
TIAM2,-1.310435744,1.15E-07
AKAP17BP,-4.805711056,1.16E-07
C10orf82,0.973557667,1.16E-07
RASSF1,1.250974838,1.16E-07
TNNC2,-3.76177678,1.17E-07
NT5E,-2.38146068,1.17E-07
ALYREF,-2.15969691,1.17E-07
ERAL1,-0.604813337,1.17E-07
ERCC6,1.28475639,1.17E-07
LOC107986467,4.654566213,1.17E-07
LOC100129034,-1.126462702,1.18E-07
MACIR,0.919999048,1.18E-07
LOC105371092,-7.621232564,1.19E-07
CPLANE2,2.406176232,1.19E-07
ZNF526,-1.216725467,1.20E-07
RGS9,1.715007053,1.20E-07
IL23A,-2.685449447,1.21E-07
RFT1,-0.637045491,1.21E-07
MBP,0.930679761,1.21E-07
C16orf86,1.625777898,1.21E-07
PRDM4,0.585101578,1.22E-07
IKZF4,0.951004713,1.22E-07
LINC01138,1.033502277,1.23E-07
TSPAN5-DT,3.491830252,1.23E-07
TFCP2,-0.622585454,1.25E-07
ALG2,-0.606222499,1.25E-07
MBTPS1,0.540935852,1.25E-07
ITGA4,-4.387740918,1.26E-07
C11orf65,-3.561369942,1.26E-07
SEMA6A-AS1,-2.615305735,1.27E-07
RCBTB2,0.590887824,1.27E-07
SHISA4,1.989853886,1.27E-07
NIBAN3,2.79262563,1.27E-07
PYCARD-AS1,-3.880104037,1.28E-07
COG1,0.799113507,1.29E-07
ST13P4,-2.049292789,1.30E-07
DMBX1,4.244025706,1.30E-07
C1orf194,4.974120398,1.30E-07
ANGPTL4,-2.984431621,1.32E-07
FAM200A,0.655241438,1.32E-07
KIF17,-1.424720538,1.33E-07
VMAC,1.689444786,1.33E-07
LOC642484,-6.937643349,1.34E-07
TP53BP2,-0.629227597,1.34E-07
LGALS12,-6.539923962,1.35E-07
TMEM106A,-3.079755439,1.35E-07
TP53AIP1,2.945080214,1.35E-07
XCR1,-7.063229296,1.36E-07
LOC101927060,1.885973429,1.36E-07
IGFBP7,4.398887197,1.37E-07
CD1D,-3.609893703,1.39E-07
COIL,-0.527459308,1.39E-07
ZNF396,1.672102001,1.39E-07
NCOA2,1.278446804,1.40E-07
SCYL1,0.774660798,1.42E-07
ZNF33A,1.047037071,1.42E-07
PRDM11,1.355808986,1.42E-07
NLRP6,-6.2949644,1.43E-07
SHPK,-1.166101163,1.45E-07
RPS6KC1,0.491120495,1.46E-07
ELMOD2,0.613197362,1.46E-07
TTLL5,-1.207444778,1.47E-07
TPO,-3.836181861,1.50E-07
LOC105376023,4.233600978,1.50E-07
SNORD76,-3.060347432,1.52E-07
RAD50,-0.97329868,1.52E-07
MYRIP,1.349045015,1.52E-07
LHFPL3,3.791056649,1.52E-07
DDX59,-1.027468152,1.53E-07
CCDC183-AS1,2.150266246,1.53E-07
ASCL1,5.115443618,1.54E-07
MFAP3L,0.827672453,1.55E-07
STAT2,0.824977193,1.57E-07
LONP2,0.913310514,1.57E-07
ZNF382,2.636827778,1.58E-07
UGDH-AS1,1.812561458,1.59E-07
MAPK13,-1.126152338,1.60E-07
DYNLRB1,1.251996847,1.60E-07
GLIDR,1.257121892,1.60E-07
TTLL3,2.422085709,1.60E-07
SYPL2,-3.828201979,1.61E-07
CDK16,1.156498557,1.61E-07
ANAPC7,-0.797718505,1.62E-07
SYVN1,1.071037432,1.62E-07
ZNF19,1.108674734,1.62E-07
SLC6A9,1.359508305,1.62E-07
PC,-0.944746364,1.63E-07
EFNB1,1.195007909,1.64E-07
LOC101927502,2.777950883,1.65E-07
HCRT,4.954862723,1.65E-07
SPAG16,0.632602655,1.66E-07
H1-5,-8.022715503,1.67E-07
EIF3J-DT,0.889033769,1.68E-07
NDUFAF5,1.06084507,1.68E-07
LOC105376579,2.517614909,1.68E-07
CNOT1,-1.481217005,1.69E-07
DPY19L2P4,3.321788588,1.69E-07
GUSBP1,3.772941585,1.69E-07
SLCO2A1,-4.499151743,1.71E-07
FRMD4B,1.663538881,1.71E-07
SLC25A34,2.199326974,1.71E-07
LINC00473,5.135687326,1.71E-07
CRLF1,-3.187473331,1.72E-07
MANBA,-1.3010692,1.72E-07
DIS3L,-0.43788806,1.72E-07
SLC44A3,-2.340182152,1.73E-07
NFIB,-3.655411628,1.74E-07
SLC25A19,-1.529902582,1.75E-07
HMGXB3,0.795956923,1.75E-07
C16orf46,1.238377219,1.75E-07
ARPC5,0.482352087,1.76E-07
LINC01768,-7.2894972,1.77E-07
H2AC17,-4.120142936,1.77E-07
SPINK5,-3.239547208,1.77E-07
NFIL3,1.036053828,1.78E-07
SOD2,1.463195624,1.78E-07
ANKRD52,1.855128703,1.79E-07
SPTLC2,-0.780051917,1.80E-07
LOC105377887,2.820894732,1.81E-07
MICAL1,0.917862186,1.84E-07
PITPNM3,1.305116671,1.84E-07
TRIM23,0.707512513,1.86E-07
GALT,0.930650561,1.86E-07
ZNF649,-2.148660935,1.87E-07
MRPL58,-1.572598883,1.87E-07
RPP25L,-1.377388678,1.88E-07
LOC112268199,-7.147753547,1.89E-07
PWWP3B,-2.068078846,1.90E-07
RAD51B,-1.881025185,1.92E-07
LARGE-AS1,-7.216085323,1.93E-07
RPL27,-1.222983639,1.93E-07
SLC25A40,-0.978702567,1.94E-07
TRAFD1,0.880479674,1.94E-07
FLJ39095,1.974499289,1.94E-07
STAT5A,-1.259295536,1.95E-07
LGALSL-DT,2.293278277,1.97E-07
TMBIM6,-0.374949439,1.98E-07
HACD4,-2.257552132,2.00E-07
LOC107986281,-6.977036863,2.02E-07
USP45,-1.547551239,2.02E-07
PSMB1,-1.218128844,2.03E-07
MAP2K1,-1.028368669,2.03E-07
RBM4,0.874105884,2.05E-07
ZNF773,1.009027648,2.07E-07
TPP1,-1.234543723,2.11E-07
STARD10,1.232033437,2.12E-07
BDH1,3.068752127,2.12E-07
PKHD1,-5.867434666,2.13E-07
LOC105378031,-5.315440399,2.13E-07
CUEDC2,1.078566772,2.13E-07
ORM2,-5.515800621,2.15E-07
MFAP4,-2.083029619,2.16E-07
IGFBP6,-4.962341039,2.18E-07
NPL,-2.696219095,2.18E-07
EXD3,1.408377836,2.22E-07
SZT2,1.671537351,2.22E-07
RPS15A,-1.386119589,2.24E-07
APPL1,-1.008878043,2.24E-07
KCNS2,4.151228683,2.25E-07
SSBP3,1.325220699,2.26E-07
SDHAP1,1.367873453,2.27E-07
DCLRE1A,-0.780506417,2.28E-07
UBE4B,-0.66551235,2.29E-07
TTYH2,-2.250683571,2.30E-07
CIB1,-1.507461221,2.30E-07
ZNF778,1.371625265,2.30E-07
TBKBP1,1.778826189,2.30E-07
S1PR5,-6.310895452,2.32E-07
NALT1,-6.076234507,2.32E-07
MIGA2,0.960023621,2.32E-07
OVCH2,-7.007186933,2.33E-07
P3H3,-1.502603644,2.33E-07
HSDL2-AS1,1.888648263,2.33E-07
FLJ42627,1.493478742,2.34E-07
FLJ20021,2.030851984,2.36E-07
SAMSN1,-4.53079351,2.38E-07
LOC105375429,4.859348125,2.38E-07
CP,-4.088429134,2.39E-07
LRRN1,-0.87075001,2.40E-07
HMGN1,-0.883152117,2.42E-07
UBE2D1,-0.764171077,2.43E-07
VAV3,1.043736264,2.43E-07
ZNF528,3.564319408,2.48E-07
TNPO2,1.804997083,2.52E-07
PES1,-1.380763286,2.56E-07
MAP4K4,0.835892001,2.56E-07
ZNF677,-7.393967943,2.57E-07
PICART1,4.715832222,2.57E-07
SPARCL1,-4.031383301,2.59E-07
FDPS,-0.814686153,2.60E-07
SF3B2,-0.614455976,2.60E-07
CMTR1,1.068910961,2.60E-07
PLP2,-3.331031629,2.61E-07
DOCK4,1.030497432,2.62E-07
DHFR2,1.289524457,2.62E-07
LOC101928076,-3.00289643,2.63E-07
HDAC3,-0.769499942,2.64E-07
SCP2,0.50972675,2.64E-07
ABCD2,4.187114201,2.64E-07
IGFLR1,-1.623286871,2.67E-07
PLPPR1_1,6.510077762,2.67E-07
LINC01980,-2.833659231,2.68E-07
RAB3D,0.692644309,2.68E-07
C4orf3,0.816388298,2.68E-07
EFNA5,1.315870392,2.68E-07
CD6,3.640299464,2.68E-07
LOC101929902,-6.451681062,2.70E-07
SLCO6A1,-6.53476059,2.71E-07
PIGP,1.128135023,2.71E-07
LOC107984875,1.320771294,2.71E-07
LOC101928093,4.875966431,2.71E-07
THAP4,-0.989546553,2.73E-07
NKX2-1,4.755473056,2.73E-07
SNORD50B,-3.405243146,2.76E-07
CA2,-2.180783215,2.77E-07
DYNC1LI1,0.51379946,2.78E-07
C9orf85,0.800613823,2.78E-07
ZMIZ2,1.433496295,2.78E-07
C19orf47,1.112021609,2.79E-07
PVRIG,2.245747757,2.79E-07
MPHOSPH9,-1.219706412,2.83E-07
LOC441179,4.013548873,2.83E-07
ALDH6A1,-1.355482885,2.84E-07
EHD1,1.995706188,2.84E-07
SH3BP5-AS1,1.922149594,2.85E-07
LRRC69,-4.846221525,2.86E-07
CHST10,0.58938154,2.87E-07
NPW,-4.918101818,2.90E-07
ACTB,-0.628407081,2.90E-07
ZC3H10,0.661100545,2.91E-07
ABALON,1.288990924,2.91E-07
COQ6,1.103191658,2.92E-07
LOC105377530,-5.307054833,2.94E-07
EHHADH,-5.41809572,2.95E-07
GPR137,1.052805205,2.96E-07
MAX,1.332335768,2.97E-07
LOC414300,4.059852894,2.99E-07
MTR,-1.15378353,3.01E-07
LOC107986890,-6.749493837,3.02E-07
ADGRD1,2.684086663,3.02E-07
PDK3,-1.629170178,3.03E-07
AMZ2,0.458723293,3.03E-07
LOC100996318,3.622566123,3.04E-07
ANKRD34B,-3.544410192,3.05E-07
DAB2,-1.795462237,3.07E-07
ITPKB,-2.788564291,3.09E-07
PRKCD,-3.888552934,3.13E-07
AGBL4,3.740395573,3.14E-07
RBM8A,0.995341545,3.16E-07
LOC100506405,-7.114443367,3.17E-07
LOC105373942,-5.454095663,3.18E-07
CR2,-7.448368132,3.19E-07
SREBF2,1.222470529,3.19E-07
TAF1A,-0.705617165,3.20E-07
DDR2,-3.045344238,3.22E-07
GALNT10,-1.310127918,3.22E-07
MAP4K3-DT,1.38285096,3.24E-07
LOC100996740,1.873701411,3.25E-07
SNORD28,-2.689039134,3.28E-07
EBLN2,-2.980317484,3.30E-07
NXPH1,1.931777756,3.30E-07
EDRF1,-0.860869186,3.32E-07
MLEC,-1.014175672,3.33E-07
ANKRD42,0.824426982,3.33E-07
EDIL3-DT,1.288399991,3.33E-07
FOS,-2.514476488,3.34E-07
ZNF235,1.300406471,3.34E-07
ARHGAP9,-2.664944539,3.35E-07
TCAF1,3.233394472,3.35E-07
LOC105374897,-6.552620487,3.36E-07
C10orf105,-3.534582272,3.40E-07
OTUD5,0.817852417,3.41E-07
CWF19L1,-0.981016556,3.43E-07
CC2D1B,0.819099979,3.47E-07
LINC00663,1.92457002,3.49E-07
EIF2AK1,-0.50992187,3.50E-07
PIK3AP1,-4.413766469,3.51E-07
MIR4477B,4.518794906,3.51E-07
CHKB-DT,1.50148772,3.53E-07
SEC11C,1.731757753,3.53E-07
MIR762HG,1.250143003,3.56E-07
LOC112267866,-2.994790655,3.59E-07
PGBD5,0.803445121,3.60E-07
MTMR9,2.080364736,3.60E-07
RPN1,-0.562605413,3.61E-07
DANCR,-1.608043646,3.64E-07
LOC100128770,-3.050850274,3.65E-07
LOC100996660,1.953316097,3.65E-07
C16orf89,-5.078854125,3.66E-07
CPTP,1.493170282,3.66E-07
GRIK5,0.932800634,3.67E-07
DDX42,-0.619325384,3.68E-07
ZNF331,-1.424812517,3.69E-07
LOC107987081,-6.964967374,3.70E-07
BNC2-AS1,-3.401856986,3.74E-07
ZNF496,-0.580506644,3.75E-07
LOC101926984,3.168938273,3.77E-07
CADPS2,-1.51755973,3.80E-07
LOC105373582,-2.720345291,3.81E-07
FOXD4L3,4.770871169,3.82E-07
PCDHGA9,-2.612961675,3.85E-07
ZNF2,1.044285154,3.85E-07
FGF23,-6.206939422,3.88E-07
SLC25A53,0.75502709,3.88E-07
WDR74,-1.398740282,3.90E-07
LOC101928953,2.095766595,3.93E-07
TMEM237,0.510248177,3.95E-07
ZFP41,1.002663895,3.95E-07
TTC30B,1.465086197,4.01E-07
ITGA9-AS1,2.231346611,4.02E-07
LOC105373002,-5.787005552,4.04E-07
TXNDC11,0.562121279,4.04E-07
LOC107986291,2.790039174,4.04E-07
COA8,0.815191094,4.06E-07
AFF2,2.257040116,4.06E-07
BUB3,-0.728149776,4.07E-07
ARFGEF3,1.548177407,4.09E-07
LINC02762,2.985775742,4.09E-07
BTG3,-1.897361143,4.10E-07
APMAP,0.521718407,4.10E-07
LINC01841,2.920341049,4.10E-07
LRP10,-0.91458908,4.12E-07
ULBP1,1.781095925,4.14E-07
CDKL2,2.059999993,4.15E-07
DMAP1,0.976586307,4.18E-07
MRPS33,1.033141981,4.19E-07
DBT,-1.152189198,4.20E-07
CALCR,-6.648333906,4.23E-07
RPP30,-0.66118634,4.24E-07
IMMT,-0.967436138,4.25E-07
LOC101929234,4.267913466,4.27E-07
FBXO42,0.844236862,4.28E-07
SNORD12C,-5.691285763,4.29E-07
MSTO2P,1.381311698,4.29E-07
LOC105378833,4.74108672,4.31E-07
ZNF814,-0.698563279,4.33E-07
CTXN2-AS1,4.166096205,4.33E-07
PI4KAP1,1.781894358,4.36E-07
STRBP,-1.090296492,4.37E-07
LOC105374945,-7.036976437,4.41E-07
LOC105371077,-4.438027246,4.41E-07
CFAP58,-4.590175196,4.42E-07
KCNJ8,-2.925697193,4.43E-07
KMT5C,0.944272648,4.43E-07
RALB,1.288776487,4.43E-07
MAPT-AS1,4.804013345,4.43E-07
TGFB1I1,-2.907135733,4.45E-07
RDX,-0.940104046,4.46E-07
COL12A1,-2.57606312,4.47E-07
ISYNA1,-1.459046829,4.47E-07
CLEC11A,1.193521028,4.47E-07
CNN1,-2.380400385,4.49E-07
ZC3HC1,-0.75336521,4.49E-07
MAP10,0.91959724,4.51E-07
CAPRIN2,-1.589437168,4.54E-07
LBHD1,1.533901193,4.54E-07
LOC112268038,-3.099383814,4.55E-07
ABHD11,-1.055948667,4.56E-07
MAN1C1,-0.866220958,4.58E-07
CACNB4,1.958545153,4.59E-07
RAMP2-AS1,1.318388232,4.60E-07
GSTM5,-4.18034156,4.61E-07
ALDH1L1,-4.860189835,4.62E-07
DPY19L4,-0.708379738,4.62E-07
LINC00539,2.493634391,4.63E-07
BASP1P1,4.548954767,4.64E-07
CHST5,2.088306835,4.66E-07
NUTM2E,2.783874753,4.69E-07
BCL10,-0.39797514,4.70E-07
TRIM73,4.819013877,4.70E-07
DKK2,3.304507486,4.71E-07
ADAM28,-4.983964558,4.74E-07
PINLYP,-1.64332056,4.76E-07
SLC11A2,-0.425606642,4.76E-07
TSACC,-3.428355838,4.77E-07
AMOTL2,0.741049934,4.78E-07
SLC26A1,2.251383385,4.79E-07
QRICH1,-0.557862821,4.80E-07
GREM2,4.06299863,4.81E-07
TCEANC,1.01130355,4.85E-07
STX10,-1.107289671,4.86E-07
SMTN,-0.967401429,4.86E-07
XIRP2,-5.812843327,4.88E-07
IGSF8,-1.45233497,4.90E-07
NUCB2,0.814837483,4.90E-07
POU6F2,2.660354572,4.90E-07
SENP6,-0.560145949,4.92E-07
ANKLE1,-1.223815609,4.94E-07
LRFN5-DT,2.048927046,4.94E-07
DGKB,-1.832822167,4.95E-07
KCTD10,1.027318121,4.95E-07
RIC3,1.571959564,4.95E-07
LOC100506990_1,2.10829724,4.98E-07
TRABD,-0.851802437,5.02E-07
TERF1P7,-2.897502146,5.03E-07
CHAC1,1.183276845,5.04E-07
UBE2O,0.461334632,5.06E-07
GGN,1.669175675,5.11E-07
FRMPD2,-4.337065005,5.15E-07
CARM1,-0.662857616,5.15E-07
ZBTB8B,1.333893096,5.15E-07
WHAMM,0.859341571,5.18E-07
SLC25A35,-1.838263701,5.20E-07
CCDC180,2.825510723,5.20E-07
MYNN,-0.756827346,5.23E-07
EIF5AL1,-1.971274684,5.24E-07
CYP2J2,-5.14516294,5.26E-07
SLC16A3,-1.781483976,5.32E-07
SYCP1,-6.548961258,5.34E-07
SARNP,-0.952672427,5.35E-07
NMT2,0.656180593,5.40E-07
MIR10527,-4.128139344,5.42E-07
